nohup: ignoring input
 * Running on http://0.0.0.0:6400/ (Press CTRL+C to quit)
127.0.0.1 - - [07/Apr/2018 22:21:09] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:21:10] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:22:10] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:22:11] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:22:12] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:22:13] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:22:14] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:23:03] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:23:04] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:23:05] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:23:06] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:23:07] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:23:08] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:17:44] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:18:21] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:18:22] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:18:23] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:18:24] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:18:25] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:18:26] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:19:04] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:19:05] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:19:06] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:19:07] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:19:08] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:19:09] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:21:13] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:21:14] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:21:15] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:21:16] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:21:18] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:21:19] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:22:46] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:22:47] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:22:48] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:22:49] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:22:50] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:22:51] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:16] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:17] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:18] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:19] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:20] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:21] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:54] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:55] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:56] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:57] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:58] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 23:23:59] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2018 00:16:14] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:08:10] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:40:40] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:42:01] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:42:07] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:42:08] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:42:09] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:42:10] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:42:11] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:42:12] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:46:01] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:46:02] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:46:03] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:46:04] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:46:05] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:46:06] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:47:34] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:47:35] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:47:36] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:47:37] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:47:39] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:47:40] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:47:41] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:03] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:04] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:05] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:06] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:07] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:08] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:09] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:10] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:24] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:25] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:26] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:27] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:28] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:29] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:30] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 16:49:31] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:03:25] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:03:28] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:03:31] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:05:37] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:05:40] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:05:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:06:47] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:06:48] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:06] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:07] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:28] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:29] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:30] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:31] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:32] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:33] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:34] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:35] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:38] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:07:39] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:35:33] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:35:34] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:36:25] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:36:28] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:42:41] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:42:42] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:43:37] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 17:43:38] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:12:00] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:12:01] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:12:21] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:12:22] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:12:36] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:12:37] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:14:05] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:14:06] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:14:48] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:14:49] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:15:04] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:15:05] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:15:27] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:15:28] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:16:12] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:16:13] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:18:05] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:18:07] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:24:10] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [08/Apr/2018 18:24:11] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:00:54] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:28:39] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:28:40] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:29:20] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:29:21] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:30:09] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:30:10] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:30:30] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 15:30:31] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 16:52:29] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 16:52:30] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 16:55:55] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 16:55:56] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 16:58:00] "POST /language HTTP/1.0" 200 -
127.0.0.1 - - [09/Apr/2018 16:58:01] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:23:27] "GET /language?text=Language%20Detection%20API%20-%20Usage:%20%27text%27%20POST%20parameter HTTP/1.1" 200 -
